PassengerId,Survived
892,0
893,0
894,0
895,0
896,1
897,1
898,1
899,1
900,1
901,0
902,0
903,0
904,0
905,0
906,0
907,1
908,1
909,1
910,1
911,1
912,0
913,0
914,0
915,1
916,1
917,1
918,1
919,1
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,1
931,1
932,0
933,0
934,1
935,1
936,1
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,1
952,0
953,0
954,0
955,0
956,0
957,0
958,1
959,0
960,0
961,0
962,0
963,0
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,0
973,0
974,0
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,0
984,1
985,0
986,0
987,0
988,1
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,1
1002,0
1003,1
1004,1
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,0
1020,0
1021,0
1022,0
1023,1
1024,1
1025,0
1026,0
1027,1
1028,0
1029,1
1030,1
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,0
1045,0
1046,0
1047,1
1048,0
1049,0
1050,0
1051,1
1052,0
1053,0
1054,1
1055,0
1056,1
1057,1
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,1
1068,0
1069,0
1070,0
1071,0
1072,0
1073,0
1074,0
1075,1
1076,1
1077,1
1078,0
1079,1
1080,0
1081,1
1082,1
1083,1
1084,1
1085,0
1086,1
1087,1
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,1
1095,1
1096,0
1097,0
1098,0
1099,1
1100,1
1101,1
1102,1
1103,1
1104,1
1105,1
1106,1
1107,0
1108,1
1109,1
1110,1
1111,1
1112,1
1113,0
1114,0
1115,1
1116,0
1117,0
1118,1
1119,1
1120,1
1121,1
1122,1
1123,0
1124,0
1125,0
1126,0
1127,0
1128,1
1129,1
1130,1
1131,1
1132,0
1133,0
1134,0
1135,1
1136,1
1137,0
1138,1
1139,1
1140,0
1141,0
1142,0
1143,0
1144,1
1145,0
1146,1
1147,1
1148,1
1149,0
1150,0
1151,0
1152,0
1153,1
1154,0
1155,0
1156,1
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,1
1164,1
1165,1
1166,0
1167,1
1168,0
1169,1
1170,0
1171,0
1172,0
1173,1
1174,1
1175,1
1176,1
1177,0
1178,0
1179,0
1180,1
1181,1
1182,0
1183,0
1184,1
1185,1
1186,0
1187,0
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,1
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,0
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,0
1224,1
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,1
1240,1
1241,0
1242,1
1243,1
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,1
1251,1
1252,0
1253,0
1254,0
1255,1
1256,0
1257,1
1258,1
1259,1
1260,1
1261,1
1262,0
1263,1
1264,0
1265,0
1266,1
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,1
1274,1
1275,0
1276,0
1277,1
1278,1
1279,1
1280,1
1281,0
1282,0
1283,0
1284,0
1285,1
1286,1
1287,0
1288,0
1289,1
1290,1
1291,1
1292,0
1293,1
1294,1
1295,0
1296,0
1297,1
1298,0
1299,0
1300,0
1301,1
1302,1
1303,1
1304,1
1305,0
1306,0
1307,0
1308,0
1309,0
